doi,caption,classification_ai,classification_gt,result
10.1016/j.jallcom.2004.12.158,"Fig. 1. Observed (points) and calculated (line) neutron diffraction patterns for an $\mathrm{ErNi}_{3}$ sample deuterided at 100 bar (a), calculated patterns of the contributing phases $\upbeta_{2}$ - (b) and $\upgamma$ -deuteride (c). Vertical bars indicate positions of Bragg peaks; difference pattern represented at the bottom; $\lambda=1.493814(19)\mathrm{\normalfont\AA}$ . ",3,0.0,FP
10.1016/j.jallcom.2004.12.158,"Fig. 2. Crystal structures of centrosymmetric $\mathrm{ErNi}_{3}$ and non-centrosymmetric $\upbeta_{1}$ -, $\upbeta_{2}$ - and $\upgamma$ - $\mathrm{ErNi}_{3}\mathrm{D}_{x}$ ; $\upbeta_{2}.$ - and $\upgamma$ -structures refined in centrosymmetric space group $R\bar{3}m$ ; filled circles occupied D sites, open circles unoccupied D-sites in non-centrosymmetric model; $\mathrm{Ni-D}$ bonds shorter than $\sim1.6\AA$ indicated by lines. ",0,0.0,TN
10.1016/j.ijhydene.2023.03.329,Fig. 1 e XRD patterns of $\mathbf{La}\mathbf{Y}_{1\cdot9}\mathbf{Ni}_{10}\mathbf{Mn}_{0\cdot5}\mathbf{Al}_{0.2}$ alloys (a) and phase abundances of the alloys based on Rietveld refinement (b). ,0,0.0,TN
10.1016/j.ijhydene.2023.03.329,"Fig. 2 e SEM images of $\mathbf{La}\mathbf{Y}_{1\cdot9}\mathbf{Ni}_{10}\mathbf{Mn}_{0\cdot5}\mathbf{Al}_{0.2}$ alloys: (a) as-cast, (b) Alloy-875, (c) Alloy-1050, (d) Alloy-1125, and HAADF images of Alloy-875: (e) $\scriptstyle2\mathbf{H}\cdot\mathbf{A}_{2}\mathbf{B}_{7}$ type, (f) 3R- $\mathbf{A}_{2}\mathbf{B}_{7}$ type, (g) intergrowth structures of 2H- and 3R- $\mathbf{\nabla}\mathbf{A}_{2}\mathbf{B}_{7}$ block layers and the positions of $\mathbf{A}_{5}\mathbf{B}_{19}$ -type block layers. ",0,0.0,TN
10.1016/j.ijhydene.2023.03.329,Fig. 3 e PeC-T curves of the annealed $\mathbf{LaY}_{1\cdot9}\mathbf{Ni}_{10}\mathbf{Mn}_{0\cdot5}\mathbf{Al}_{0\cdot2}$ alloys (a) and the XRD patterns of Alloy-1050 at different hydrogen absorption states (b). ,1,1.0,TP
10.1016/j.ijhydene.2023.03.329,Fig. 4 e Hydrogenation curves of the annealed $\mathbf{La}\mathbf{Y}_{1\cdot9}\mathbf{Ni}_{10}\mathbf{Mn}_{0\cdot5}\mathbf{Al}_{0\cdot2}$ alloys at $\mathbf{40}\phantom{.0}^{\circ}\mathbf{C}$ and 5 MPa $\mathbf{H}_{2}$ . The solid and the dotted lines are the theoretical calculation of hydrogen absorption from Chou model. ,3,3.0,TP
10.1016/j.ijhydene.2023.03.329,Fig. 5 e Discharge capacity retentions of the alloys within 300 cycles (a) and discharge capacity of the binder-free electrodes within 10 cycles (b). ,2,2.0,TP
10.1016/j.ijhydene.2023.03.329,"Fig. 6 e Tafel polarization curves of the alloy electrodes for Alloys-875, Alloy-1050 and Alloy-1125. ",2,0.0,FP
10.1016/j.ijhydene.2023.03.329,"Fig. 7 e XRD spectra of the annealed alloy before cycling and after 10, 30, 60, and 100 electrochemical and 100 gaseous cycles: (a) Alloy-875, (b) Alloy-1050, (c) Alloy-1125. ",0,2.0,FN
10.1016/j.jallcom.2005.06.068,"Fig. 1. Observed (points), calculated (line) and difference (bottom line) NPD patterns for $\mathsf{\beta_{1}}\mathrm{-HoNi}_{3}\mathrm{D}_{1.3}$ (a) and $\mathsf{beta}_{2}\mathrm{-HoNi}_{3}\mathrm{D}_{1.8}$ (b); vertical bars indicate positions of Bragg peaks; second row of vertical bars in (b) indicates minority phase $\gamma{\cdot}\mathrm{HoNi}_{3}\mathrm{D}_{\mathrm{X}}$ $(\sim5\mathrm{wt}.\%)$ ). ",0,0.0,TN
10.1016/j.jallcom.2005.06.068,"Fig. 2. Observed (points), calculated (line) and difference (bottom line) synchrotron powder diffraction patterns of a desorbed $\mathrm{HoNi}_{3}\mathrm{D}_{x}$ sample; rows of vertica bars indicate Bragg positions of majority phase $\mathrm{HoNi}_{3}$ (top), minority phase $\mathrm{Ho}_{2}\mathrm{Ni}_{7}$ (middle) and impurity phase $\mathrm{Ho}_{2}\mathrm{O}_{3}$ (bottom). ",3,3.0,TP
10.1016/j.jallcom.2005.06.068,"Fig. 3. In situ synchrotron powder diffraction patterns upon desorption of $\gamma\mathbf{-}\mathrm{HoNi}_{3}\mathbf{D}_{x}$ deuteride $(\lambda=0.4335\mathrm{\AA}$ , $36^{\circ}\mathrm{C})$ ; bottom pattern: $\upgamma$ -phase, top pattern: alloy. ",3,3.0,TP
